Vehicle_ID,Frame,Speed_Pixels_Per_Second
3,0,23.976023976023978
3,1,0.0
3,2,0.0
3,3,23.976023976023978
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
6,0,169.53609139337806
6,1,169.53609139337806
7,0,0.0
7,1,0.0
8,0,601.3156221690847
8,1,649.1262195731093
8,2,720.8773488130865
8,3,649.1262195731093
8,4,647.7964956374648
8,5,671.7566781756756
8,6,673.0390656200535
8,7,671.7566781756756
8,8,673.0390656200535
8,9,673.0390656200535
8,10,695.3046953046953
8,11,647.3526473526474
8,12,695.7179522180336
8,13,671.7566781756756
8,14,695.7179522180336
8,15,647.7964956374648
8,16,695.3046953046953
8,17,695.3046953046953
8,18,671.3286713286714
8,19,671.7566781756756
8,20,695.7179522180336
8,21,695.3046953046953
8,22,671.7566781756756
8,23,695.3046953046953
8,24,719.2807192807194
8,25,695.7179522180336
8,26,671.7566781756756
8,27,695.7179522180336
8,28,671.3286713286714
8,29,695.7179522180336
8,30,671.7566781756756
8,31,695.3046953046953
8,32,695.3046953046953
8,33,695.3046953046953
8,34,647.3526473526474
8,35,671.3286713286714
8,36,719.2807192807194
8,37,647.3526473526474
8,38,695.7179522180336
8,39,623.3766233766235
8,40,431.5684315684316
8,41,360.43867440654327
8,42,335.6643356643357
8,43,575.4245754245754
8,44,575.9238593149721
9,0,0.0
9,1,23.976023976023978
9,2,0.0
9,3,33.90721827867561
9,4,0.0
9,5,0.0
9,6,0.0
9,7,23.976023976023978
9,8,0.0
9,9,0.0
11,0,239.76023976023978
11,1,217.1121311841139
11,2,287.7122877122877
11,3,335.6643356643357
11,4,431.5684315684316
11,5,503.4965034965035
11,6,503.4965034965035
11,7,504.06703796112623
11,8,503.4965034965035
11,9,479.52047952047957
11,10,503.4965034965035
11,11,479.52047952047957
11,12,503.4965034965035
11,13,503.4965034965035
11,14,480.11950596205685
11,15,479.52047952047957
11,16,528.0171559371486
11,17,479.52047952047957
11,18,479.52047952047957
11,19,503.4965034965035
11,20,528.0171559371486
11,21,480.11950596205685
11,22,479.52047952047957
11,23,527.4725274725275
