Vehicle_ID,Frame,X,Y
3,0,708,477
3,1,708,478
3,2,708,478
3,3,708,478
3,4,708,479
5,0,707,475
5,1,707,475
5,2,707,475
5,3,707,475
5,4,707,475
6,0,37,331
6,1,44,330
6,2,51,329
7,0,708,475
7,1,708,475
7,2,708,475
8,0,82,329
8,1,107,327
8,2,134,325
8,3,164,323
8,4,191,321
8,5,218,320
8,6,246,319
8,7,274,317
8,8,302,316
8,9,330,314
8,10,358,312
8,11,387,312
8,12,414,312
8,13,443,311
8,14,471,310
8,15,500,309
8,16,527,308
8,17,556,308
8,18,585,308
8,19,613,308
8,20,641,307
8,21,670,306
8,22,699,306
8,23,727,305
8,24,756,305
8,25,786,305
8,26,815,304
8,27,843,305
8,28,872,304
8,29,900,304
8,30,929,303
8,31,957,304
8,32,986,304
8,33,1015,304
8,34,1044,304
8,35,1071,304
8,36,1099,304
8,37,1129,304
8,38,1156,304
8,39,1185,303
8,40,1211,303
8,41,1229,303
8,42,1244,302
8,43,1258,302
8,44,1282,302
8,45,1306,301
9,0,706,476
9,1,706,476
9,2,705,476
9,3,705,476
9,4,706,477
9,5,706,477
9,6,706,477
9,7,706,477
9,8,706,476
9,9,706,476
9,10,706,476
11,0,1241,427
11,1,1231,427
11,2,1222,426
11,3,1210,426
11,4,1196,426
11,5,1178,426
11,6,1157,426
11,7,1136,426
11,8,1115,425
11,9,1094,425
11,10,1074,425
11,11,1053,425
11,12,1033,425
11,13,1012,425
11,14,991,425
11,15,971,424
11,16,951,424
11,17,929,423
11,18,909,423
11,19,889,423
11,20,868,423
11,21,846,422
11,22,826,421
11,23,806,421
11,24,784,421
11,25,763,420
11,26,743,421
11,27,721,420
11,28,701,420
11,29,680,420
11,30,660,420
11,31,639,420
11,32,618,420
11,33,597,420
11,34,577,420
11,35,556,421
11,36,536,421
11,37,515,422
11,38,493,424
11,39,473,424
11,40,453,426
11,41,432,426
11,42,412,427
11,43,392,427
11,44,373,427
11,45,352,428
11,46,332,429
11,47,311,430
11,48,292,431
11,49,272,432
11,50,253,432
11,51,234,433
11,52,214,434
11,53,195,435
11,54,175,437
11,55,157,437
11,56,137,438
11,57,118,439
11,58,99,440
11,59,79,441
11,60,63,442
11,61,51,442
11,62,42,443
11,63,32,444
11,64,22,445
11,65,14,448
11,66,0,449
11,67,-14,450
12,0,708,478
12,1,707,478
12,2,707,478
12,3,707,478
12,4,708,478
12,5,708,478
12,6,708,477
12,7,708,477
12,8,709,477
12,9,709,478
12,10,709,478
12,11,709,477
12,12,709,477
12,13,709,477
12,14,710,478
12,15,710,478
12,16,710,478
12,17,710,479
13,0,709,478
13,1,709,478
13,2,709,478
13,3,711,477
13,4,711,477
